臺中市大肚區　縣市代碼 B　鄉鎮代碼 B24
----------------------------------------------------
段名             段代碼      地政事務所
大肚段            9100     龍井
追分段            9101     龍井
溪洲段            9104     龍井
社腳段社腳小段        9106     龍井
社腳段山子頂小段       9107     龍井
汴子頭段山子腳小段      9108     龍井
文昌段            9109     龍井
台紙段            9110     龍井
山陽段            9111     龍井
榮華段            9112     龍井
頂街段            9113     龍井
福利段            9114     龍井
自治段            9115     龍井
大東段            9116     龍井
仁德段            9117     龍井
萬陵段            9118     龍井
中蔗段            9119     龍井
自強段            9120     龍井
慶順段            9121     龍井
遊園段            9122     龍井
瑞井段            9123     龍井
福安段            9124     龍井
福山段            9125     龍井
福吉段            9126     龍井
福和段            9127     龍井
福和北段           9128     龍井
福德段            9129     龍井
南王田段           9130     龍井
王福段            9131     龍井
興和段            9132     龍井
北王田段           9133     龍井
福陽段            9134     龍井
----------------------------------------------------
共 32 段（全區 32 段）
